FACILITY NAME,ALT_FAC_NAME,UNIT NAME,CLASS,TYPE,REGION,PSGC_1,PROVINCE,PSGC_2,CITY/MUNICIPALITY,PSGC_3,BARANGAY,PSGC_4,STREET ADDRESS,UPDATED TEL NUMBER,Latitude,Longitude,EMAIL,SCHEDULE,WEBSITE,FB,COMMENTS,CONTRIBUTOR,SOURCE,
Klinika Novaliches Sun Down Clinic,,,,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"2nd flr. Bautista Building, 8 Dona Isaura, Novaliches, Quezon City",63 9985734877; 63 9169475361,14.7207,121.036663,knovaliches5@gmail.com,Mo-Fr 08:00-17:00,X,https://www.facebook.com/klinikanovalichessocialhygieneclinic/,,,,
AIDS Society of the Philippines,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"2nd floor, OTM Building 71 Scout Tuason, Diliman, Quezon City, Metro Manila",63 2 3762546; 63 2 3762541; 63 2 4100204,14.63688,121.03345,info@aidsphil.org,Mo-Fr 07:00-18:00,www.aidsphil.org,,,Joji Bonilla,https://www.facebook.com/RedTentPh/posts/list-of-hiv-testing-and-counseling-centerssan-lazaro-hospitalquiricada-st-sta-cr/1909593362641522/,
Batasan Hills Super Health Center,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"#1 IBP Road, Batasan Hills, Quezon City",63 9322959752; 63 9232790558; 63 9234769392; 63 9458747881,14.68623,121.08848,batasanhillshc@gmail.com,Mo-Fr 08:00-17:00,X,https://www.facebook.com/batasansuper/,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Klinika Batasan,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"#1 IBP Road, Batasan Hills, Quezon City",63 9458747881,14.686272,121.088331,klinikabatasan2018@gmail.com,15:00-23:00,X,https://www.facebook.com/kbatasan//,,,,
Best Diagnostic Corporation,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"94 Masikap St., Diliman Quezon City",63 2 9201023; 63 2 9280861,14.644726,121.052147,,Mo-Sa 06:00-18:00; Su 06:00-12:00,https://www.bestdiagnostic.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Capitol Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Scout Magbanua Cor. Panay Ave.,Quezon City",63 2 3712158,14.634018,121.023018,info@capitolmedical.com.ph,,https://www.capitolmedical.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Delos Santos Medical Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"201 E. Rodriguez St. Ave.,Quezon City",63 2 7228788,14.620269,121.017799,customercare@dlsmc.ph,,https://delossantosmed.ph/,,,Maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Dr. Fe Del Mundo Medical Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"11 Banawe St., Brgy Dona Josefa,Quezon Ave., Quezon City",63 2 8459555 loc. 167,14.620589,121.009159,customercare@fedelmundo.com.ph,,https://www.fedelmundo.com.ph/,,,Maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Medocare Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"No. 30 E.U State Tower, Quezon Ave.",63 2 4126195,14.621087,121.005618,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
F.Y Manalo Medical Foundation New Era General Hospital,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Commonwealth Ave., Cor. T. Sora, Diliman, Quezon City",63 2 9327387,14.664167,121.066733,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"FEU-NRMF Medical Center, Dept. Of Clinical Laboratory",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Regalado Cor. Dahlia St., West Fairview",63 2 4275755,14.699146,121.067148,info@feu-nrmf.ph,,https://www.feu-nrmf.ph/index.php,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Good Health Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Room 302 Young Trade Bldg Gen Malvar Ave., Quezon City",63 2 9110282,14.622443,121.052984,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hi-Precision Diagnostics (Amoranto Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"674 N. S. Amoranto Sr. Avenue, Quezon City",63 9338107323; 63 9177089051; 63 2 34152622; 63 2 87431730,14.633512,121.003752,info@hi-precision.com.ph,Mo-Sa 06:00-16:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Commonwealth Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"G/F CPE Multi-Resources Inc. Bldg., Lot 21, Blk. 2, Don Mariano Marcos Ave., Fairview, Quezon City",63 9338259510; 63 9178062890; 63 2 82730874; 63 2 82850928,14.704885,121.076558,info@hi-precision.com.ph,"Mo-Sa 06:00- 16:00; Su 08:00-12:00, 13:00-00:00",https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Del Monte Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"440 - 442 W. Long Building Del Monte Ave cor. Biak-Na-Bato, Bgy.Sienna, Quezon City",63 9228906664; 63 9176348526; 63 2 87417777,14.638496,121.002984,info@hi-precision.com.ph,Mo-Sa 06:00-18:00; Su 06:00-12:30,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (East Avenue Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"18 East Avenue, Cor. V.Luna Diliman, Quezon City",63 9338193853; 63 9175782198; 63 2 34361097; 63 2 34358228,14.637487,121.046296,info@hi-precision.com.ph,Mo-Sa 06:00-18:00; Su 06:00-12:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (V. Luna Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"G/F Garpas Tower No. 31-B V.Luna Ave., Pinyahan, Quezon City",63 9338193799; 63 9176566623; 63 2 34338637; 63 2 34368682,14.63729,121.05002,info@hi-precision.com.ph,Mo-Sa 06:00-17:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Klinika Project 7,,,,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"29 Bansalangin Street, Brgy. Veterans Village, Project 7, Quezon City",63 9171199884; 63 9224568832,14.65453,121.02336,"ejojet@gmail.com
",Mo-Fr 08:00-17:00,X,www.facebook.com/klinikaprojectseven,,Beatrice Tan Lim,https://www.facebook.com/KlinikaProject7/,
Project 7 Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"29 Bansalangin Street, Brgy. Veterans Village, Project 7, Quezon City",63 922456 8832; 63 9178561158,14.65453,121.02336,,,X,https://www.facebook.com/qcpeereducators/,,,,
Lopez Medical and X-ray Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Casa Bella Bldg., 2nd Flr 1046 Quezon Ave., Quezon City",63 2 3719586; 63 2 3725026,14.633002,121.020013,lmxci@omdsinc.com,,http://lmxci.omdsinc.com/index.html,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Lung Center of the Philippines,,LCP Hub,Government,Treatment Hub,NCR,,Metropolitan Manila,,Quezon City,,,,"Quezon Ave., Quezon City",63 9189158378,14.647188,121.045962,lcpnrlcc2020@gmail.com,Mo-Fr 08:00-17:00,https://lcp.gov.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
P. Bernardo Health Center and Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Ermin Garcia Ave., Quezon City",63 9324033412; 63 9164781607; 63 9052599245; 63 9052599211,14.627948,121.046715,,Mo-Fr 08:00-16:00,X,https://www.facebook.com/Bernardo-Social-Hygiene-Clinic-570922586350028/,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Klinika Bernardo,,,,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Ermin Garcia Ave., Quezon City",63 9193635919; 63 9454091896; 63 927259160,14.627941,121.046665,klinikabernardo@yahoo.com,Mo-Fr 08:00-16:00,X,https://www.facebook.com/theklinikabernardo/,,,,
Philippine Children's Medical Center,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Cor. Agham Road, Quezon Ave. Quezon City","63 2 9246601-25 loc. 323,246; 63 2 9219781",14.647396,121.041231,officeofthedirector@pcmc.gov.ph,,http://www.pcmc.gov.ph/,,,Maning,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Philippine Heart Center Blood Bank,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"East Ave., Diliman Quezon City",63 2 9252401 loc. 5130; 63 2 9291638,14.644073,121.047977,director@phc.gov.ph,,https://www.phc.gov.ph/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Quezon City General Hospital,,Bahay Kalinga,Government,Treatment Hub,NCR,,Metropolitan Manila,,Quezon City,,,,"Seminary Road, EDSA",63 2 8630800; 63 9264015339,14.661189,121.018016,qcgh@quezoncity.gov.ph,Mo-Fr 08:00-17:00,,,,,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Quezon City Social Hygiene Clinic,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"132-N Makatarungan Road corner Kalayaan Ave, Diliman, Quezon City, 1100 Metro Manila",63 2 9298902,14.646178,121.052419,,,,,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
Quirino Memorial Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Katipunan Road, Project 4 Quezon City","63 2 4212250,55 loc. 134-136; 63 2 9134739",14.621829,121.072767,qmmc_doh@yahoo.com,,http://qmmc.doh.gov.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
St. Luke’s Medical Center,,CHBC Room 2,Private,Treatment Hub,NCR,,Metropolitan Manila,,Quezon City,,,,"279 E. Rodriguez Sr. Ave, Quezon City",63 2 87230101 loc. 4929; 63 9498817626,14.622739,121.023359,info@stlukes.com.ph,Mo-Fr 08:00-17:00,https://www.stlukes.com.ph/,,,,,
"St. Magdalene Diagnostic Clinic, Inc.",,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"2/F JCR Bldg., 298 P. Tuazon St., Cor. 20th Ave., Cubao Quezon City",63 2 4401546; 63 2 9139856; 63 2 4388515,14.620996,121.06276,info@stmagdalene.com.ph,,http://www.stmagdalene.com.ph/index.html,,,Mikko Tamura; Franklin Maraya,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Starmed Diagnostic Services Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Rm 101 Acre Bldg 137 Malakas St, Diliman, Quezon City",63 2 4330103,14.6441,121.049463,starmed.diagnostics@yahoo.com,,X,https://www.facebook.com/StarmedDiagnostics/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Sto Domingo Diagnostic and Medical Center Corp.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"No. 111 LM Bldg. 3/F Rm 303 Quezon Ave., Sto. Domingo",63 2 3818435; 63 2 7408362,14.627366,121.011914,sto.domingo.tertiary@gmail.com,,https://www.stodomingodx.com.ph/,,,Mikko Tamura; Franklin Maraya,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Woodwater Center for Healing,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"18 Nicanor Reyes St. Loyola Heights, Quezon City",63 2 9263147 loc. 17; 63 9159601717,14.639819,121.069387,,,,https://www.facebook.com/camilliansHIVministry/,,Carmela Magayanes,https://www.webbline.com/hiv-testing-centers/,
"Worldwide Diagnostic Center, Philippines",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Quezon City,,,,"Mezzanine floor Delta Bldg., West Ave., Cor. Quezon Ave.",63 2 3720589; 63 2 3712087,14.637724,121.026288,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Health Cube Medical Clinics (Greenhills Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"Basement 1, Promenade Building Shopping Center, San Juan, 1500 Metro Manila",63 2 6501111,14.602818,121.05215,inquiry@healthcube.com.ph,,https://healthcubemedicalclinics.continuouscare.io/,,,Kevin John Wandaga,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (San Juan Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"Unit G01, G02 & M01, TNA Bldg. 17 J. Abad Santos, Little Baguio, San Juan City",63 9257055067; 63 9177002685; 63 2 88717459; 63 2 88716406,14.598939,121.037969,info@hi-precision.com.ph,Mo-Sa 06:00-16:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
"Medical Dental Tests Center, Inc. (MEDTEST)",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"4/F Dallcon II Bldg., 164 Aurora Blvd.",63 2 7442637,14.611007,121.02801,,,,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Pedro Cruz Social Hygiene Clinic,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"Barangay Pedro Cruz, San Juan, Metro Manila, Philippines",63 2 7995069,14.603746,121.027188,,,,,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
San Juan City Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"F. Manalo St.,Bgy. Batis 1500 San Juan City",63 2 6421262; 63 9267542917; 63 9277645343; 63 9499310940,14.59837,121.02491,,,X,https://www.facebook.com/sanjuanSHC/,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
San Juan Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,San Juan City,,,,"N. Domingo , San Juan City","63 2 7243461; 63 2 7243266 loc. 103,104",14.606782,121.023412,,Mo-Fr 08:00-17:00,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Clinic 1276,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Taguig City,,,,"Room 1276, 12th fl., Nursing Tower, St. Luke's Medical Center, Global City, Taguig",63 9399373182; 63 2 7897700,14.55506,121.047997,room1276.bgc@stluke.com.ph,,,,,Franklin Maraya,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (The Fort Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Taguig City,,,,"3F Commercenter Bldg., 31st and 4th Ave., Fort Bonifacio Global City, Taguig",63 9338259505; 63 9338259504; 63 9176336071; 63 2 85523310; 63 2 85501735,14.553844,121.047503,info@hi-precision.com.ph,Mo-Sa 07:00-17:00,https://www.hi-precision.com.ph/,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
St. Luke's Medical Center Global City,,Room 1276,Private,Treatment Hub,NCR,,Metropolitan Manila,,Taguig City,,,,"Room 1276 Rizal Drive cor. 32nd St. and 5th Ave., Taguig, 1634",63 9399373182; 63 2 7897700 loc. 5003,14.6227,121.02316,info.bgc@stlukes.com.ph,"Tu,Th 11:00-19:00; We,Fr-Sa 09:00-17:00",https://www.stlukes.com.ph/,,,Mikko Tamura/Allen Motas,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Taguig City Drop-in Center,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Taguig City,,,,"Service Road, Western Bicutan",63 2 6421262; 63 9267542917; 63 9293028855,14.510759,121.034244,,,X,https://www.facebook.com/taguigsocialhygiene,,,,
Taguig Social Hygiene Clinic,,,Government,Treatment Hub,NCR,,Metropolitan Manila,,Taguig City,,,,"Taguig City Health Office, T&D Village Cor. Col. P, MAJ E Cruz St, Taguig, 1630 Metro Manila",63 2 6421262; 63 9267542917; 63 9293028855,14.528503,121.068974,,Mo-Fr 08:00-17:00,X,https://www.facebook.com/taguigsocialhygiene,,Iosif,https://www.webbline.com/hiv-testing-centers/,
Centralle Medical (Valenzuela Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Valenzuela City,,,,"119 Paso De Blas St, Valenzuela, 1440 Metro Manila",63 2 86243171; 63 2 82360865,14.707313,120.991615,,Mo-Sa 07:00-17:00,http://centrallemedical.com/,,,Rome Enriquez,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (Valenzuela Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Valenzuela City,,,,"Unit 3 & 4, Arca North Compound, 286 MacArthur Hi-way, Karuhatan, Valenzuela City",63 9338193866; 63 9176567012; 63 2 82363280; 63 2 82829141,14.691759,120.972807,info@hi-precision.com.ph,"
Mo-Sa 06:00-16:00",https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Valenzuela City Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Valenzuela City,,,,"Valenzuela City Hall, Poblacion II, Malinta, Valenzuela City",63 2 3526000 loc. 6046; 63 9514415118,14.691732,120.969595,,Mo-Fr 08:00-17:00,X,https://www.facebook.com/VCSHC/,,,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Sumilang Health Center,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Pasig City,,,,,63 2 6416800,14.55884,121.073286,,,,,,,,
Klinika Rosario,,,,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Manila City,,,,"627 San Andres St., Malate Manila",63 9455102130,14.569549,120.987845,,Mo-Su 14:00-21:00,,,,,,
Abra Provincial Hospital,,,Government,Identified HIV Testing/Counselling Facility,CAR,,Abra,,Bangued,,,,"Capitulacion St., Calaba, Bangued, Abra",,17.615632,120.617765,Apho_abra@yahoo.com,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Far North Luzon General Hospital and Training Center,,,Government,Identified HIV Testing/Counselling Facility,CAR,,Apayao,,Luna,,,,"Poblacion, Luna, Apayao",63 9178616050,18.338938,121.383937,fnlghtc@yahoo.com.ph,,http://www.fnlghtc.doh.gov.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Assumption Medical Diagnostic Center (Baguio Branch),,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"VFM Building, 10 Assumption Road
Baguio City 2600
Philippines",63 74 4439580,16.413325,120.597459,info@amdc.com.ph,Mo-Su 6:00-18:00,https://amdc.com.ph/,,,Adam Banto,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Baguio Doctors' Medical Laboratory,,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Rooms 213-215, GP Arcade Bldg., Upper Mabini, Baguio City",63 74 4439560,16.413709,120.596726,bdml_1988@yahoo.com,Mo-Fr 08:00-16:00,X,https://www.facebook.com/Baguio-Doctors-Medical-Laboratories-1509705286005191/,,Adam Banto,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Baguio General Hospital and Medical Center,,,Government,Treatment Hub,CAR,,Benguet,,Baguio City,,,,"BGHMC Compound, Kennon Road, Baguio City",63 74 4424216 loc. 381; 63 9155816480; 63 9154877805;63 9993391599,16.40104,120.59594,bgh_mc@yahoo.com,Mo-Fr 08:00-16:00,http://bghmc.doh.gov.ph/,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Baguio Social Hygiene Clinic,,,Government,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Baguio City Hall, City Hall Dr, Baguio, 2600 Benguet, Philippines",63 74 4424542; 63 74 4429800,16.414879,120.59372,,,,,,Andrea Angeles,https://www.webbline.com/hiv-testing-centers/,
Benguet Laboratories (Centermall),,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"L4 M22 Baguio Centermall Corner Dagohoy St., Magsaysay Ave., Baguio City",63 74 4424528,16.41648,120.596363,,,https://benguetlaboratories.com/,,,Allen Motas,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Benguet Laboratories (SM Cyber Baguio Branch),,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"4A & B01 SM Baguio Cyberzone Building, Upper Harrison Road, Baguio City",63 74 6205828,16.407069,120.598989,,,https://benguetlaboratories.com/,,,Mikko Tamura,https://www.webbline.com/hiv-testing-centers/,
"Family Polyclinic and Laboratory, Inc.",,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Rms. 12-16 Laperal Bldg., Session Road, Baguio City",63 74 4425299; 63 74 4448835,16.411937,120.597934,fplisession@gmail.com,Mo-Fr 08:00-17:00,X,https://www.facebook.com/familypolyclinicbaguio/,,Sedric Suringa 2,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Health Services Office - Public Health Laboratory/,,,,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"T. Alonzo St., Baguio City",63 74 3006540; 63 74 4426018,16.420349,120.596543,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hi-Precision Diagnostics (Baguio City Branch),,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"2nd flr CYA Centrum, 2600 Kennon Road, Baguio City",63 74 7417777; 63 74 4232358,16.4022091,120.5970062,info@hi-precision.com.ph,06:00-16:00,https://www.hi-precision.com.ph/,,,Andrea Angeles,https://www.webbline.com/hiv-testing-centers/,
Metro Baguio Laboratories (Main),,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"146 Kisad Road, Baguio City",63 74 4438582,16.402897,120.595481,metrolab146@gmail.com,06:30-17:00,X,https://www.facebook.com/METROBAGUIOLABORATORIESINC/?rf=319139401490961,,Levin Daran,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Notre Dame de Chartres Hospital,,,Private,Treatment Hub,CAR,,Benguet,,Baguio City,,,,"Gen. Luna Road., Baguio City",63 74 6198530-34; 63 74 3045960,16.41543,120.59865,ndch2003@gmail.com,,https://notredamebaguio.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Philippine Red Cross Baguio,,,NGO,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Harrison Rd., Baguio City",63 74 4424036,16.412219,120.59628,baguio@redcross.org.ph,,https://redcross.org.ph/,https://www.facebook.com/philredcrossbaguio/,,Levin Daran,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Pines City Doctors' Hospital,,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Magsaysay Ave., Baguio City",63 74 4453020; 63 74 4452091; 63 74 4469125; 63 74 4422615; 63 74 4469126,16.42692,120.59467,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Saint Louis University Hospital of the Sacred Heart,,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"Assumption Rd., Extension, Baguio City",63 74 4425700; 63 74 4425701; 63 74 4423621; 63 74 4432000,16.41724,120.5979,hosp.meddir@slu.edu.ph,,https://www.slu.edu.ph/affiliates/hospital-of-the-sacred-heart/,,,Adam Banto,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Session Diagnostic Center,,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Baguio City,,,,"GEBM Building, Lower Session Rd., Baguio City",63 74 4460672,16.413384,120.595947,sdc_baguio@yahoo.com.ph,Mo-Sa 07:00-18:00,X,https://www.facebook.com/SDCBaguioOfficial/,,AM Gososo,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Lutheran Hospital Inc.,,,,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Buguias,,,,"Abatan, Buguias, Benguet",63 9102537501,16.806033,120.823936,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"Assumption Medical Diagnostic Center (La Trinidad, Beng.)",,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,La Trinidad,,,,"Senvik Loy Building, Km.5, La Trinidad, Benguet",63 74 3093256,16.446124,120.591059,info@amdc.com.ph,Mo-Sa 06:00-18:00,https://amdc.com.ph/,,,AM Gososo,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Benguet General Hospital,,,Government,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,La Trinidad,,,,"Km.5, La Trinidad, Benguet",63 74 4225506; 63 74 4224722 loc. 1401; 1402,16.450661,120.589123,beghadmin@benguet.gov.ph,24-Jul,https://benguet.gov.ph/v3/departments/benguet-general-hospital/,,,AM Gososo,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Clinica La Trinidad,,,,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,La Trinidad,,,,"D and L Bldg 2. Pico Rd., Km.5, La Trinidad, Benguet",63 9286280481; 63 920843384,16.447205,120.590109,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"Great Faith Medical Pharmacy and Diagnostic Center, Inc.",,,,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,La Trinidad,,,,"Km.4 Pico, La Trinidad, Benguet",63 74 4224842,16.445363,120.591217,gfmpdcinc@yahoo.com,Mo-Sa 07:00-19:00,https://greatfaithmedical.business.site/,,,AM Gososo,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Philippine Red Cross - Benguet Chapter,,,NGO,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,La Trinidad,,,,"BeGH Compound, Km.5, La Trinidad, Benguet",63 74 4222796,16.450973,120.588343,benguet@redcross.org.ph,24-Jul,https://redcross.org.ph/,https://www.facebook.com/PRCBenguet/,,AM Gososo,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Sto. Nino Hospital of Philex Mining Corp.,,,Private,Identified HIV Testing/Counselling Facility,CAR,,Benguet,,Tuba,,,,"Philex Mines, Pacdal, Tuba, Benguet",63 9206522186,16.26616,120.639455,,,http://www.philexmining.com.ph/health/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
